datetime,open,high,low,close,volume
2024-01-02,18.05,18.16,17.93,17.95,37992.0
2024-01-03,17.9,17.97,17.7,17.8,34354.0
2024-01-04,17.76,17.79,17.6,17.72,28087.02
2024-01-05,17.71,17.75,17.35,17.38,34800.56
2024-01-08,17.38,17.42,16.5,16.62,106916.14
2024-01-09,16.65,16.87,16.53,16.64,46227.5
2024-01-10,16.6,17.02,16.33,16.74,50934.71
2024-01-11,16.7,17.13,16.61,17.0,39575.69
2024-01-12,16.91,17.0,16.77,16.79,29100.0
2024-01-15,16.7,16.85,16.5,16.67,29029.99
2024-01-16,16.65,16.66,16.37,16.57,44170.4
2024-01-17,16.54,16.63,16.15,16.15,33590.0
2024-01-18,16.04,16.19,15.65,16.08,63684.0
2024-01-19,16.07,16.2,15.9,16.02,34136.93
2024-01-22,15.91,16.12,14.7,14.84,82148.4
2024-01-23,14.88,15.29,14.75,15.21,60334.81
2024-01-24,15.24,15.48,14.75,15.36,51796.0
2024-01-25,15.35,16.1,15.29,16.1,61381.85
2024-01-26,16.11,16.19,15.92,15.96,41407.44
2024-01-29,16.0,16.11,15.47,15.52,45771.0
2024-01-30,15.45,15.81,15.19,15.21,46722.36
2024-01-31,15.1,15.17,14.4,14.43,67122.17
2024-02-01,14.45,14.85,14.03,14.49,66498.3
2024-02-02,14.44,14.64,13.18,13.63,91230.04
2024-02-05,13.58,13.58,12.29,12.43,128670.49
2024-02-06,12.3,13.58,12.21,13.5,114443.94
2024-02-07,13.49,14.39,13.39,14.3,103844.73
2024-02-08,14.36,15.5,14.36,15.04,123682.62
2024-02-19,15.26,15.45,14.86,15.36,106501.11
2024-02-20,15.25,15.25,14.89,15.15,72947.65
2024-02-21,15.0,15.65,14.99,15.16,82530.6
2024-02-22,15.35,15.78,15.21,15.66,84967.9
2024-02-23,15.75,15.98,15.61,15.96,79473.57
2024-02-26,15.9,16.5,15.83,16.23,91585.53
2024-02-27,16.23,17.13,16.05,17.1,133976.44
2024-02-28,17.09,17.2,15.96,15.97,156652.53
2024-02-29,15.9,16.72,15.88,16.66,101752.38
2024-03-01,16.64,17.28,16.62,17.22,123389.44
2024-03-04,17.35,17.53,17.02,17.27,117387.26
2024-03-05,17.09,17.32,16.85,17.01,94734.02
2024-03-06,17.04,17.15,16.69,16.94,72515.08
2024-03-07,17.0,17.1,16.59,16.6,62703.68
2024-03-08,16.62,17.02,16.45,16.97,79495.08
2024-03-11,16.82,16.99,16.65,16.98,67340.22
2024-03-12,16.97,17.11,16.72,16.82,72027.49
2024-03-13,16.91,17.12,16.79,16.96,71760.25
2024-03-14,16.84,16.93,16.51,16.71,71475.5
2024-03-15,16.73,16.92,16.58,16.9,58191.73
2024-03-18,16.96,17.17,16.91,17.14,85470.0
2024-03-19,17.03,17.25,16.9,17.05,89439.11
2024-03-20,17.03,17.26,17.01,17.21,74759.01
2024-03-21,17.17,17.28,17.01,17.05,56752.0
2024-03-22,16.99,17.12,16.66,16.95,71932.0
2024-03-25,16.8,17.72,16.66,16.67,141925.71
2024-03-26,16.64,16.82,16.12,16.31,93618.3
2024-03-27,16.25,16.37,15.42,15.42,80003.58
2024-03-28,15.48,16.3,15.35,16.09,87387.5
2024-03-29,16.25,16.72,16.13,16.7,90802.42
2024-04-01,16.67,17.48,16.67,17.45,154628.84
2024-04-02,17.36,17.47,17.09,17.19,83384.0
2024-04-03,17.16,17.17,16.68,16.92,69694.35
2024-04-08,16.75,16.9,16.39,16.42,63658.22
2024-04-09,16.51,16.67,16.32,16.62,51351.94
2024-04-10,16.54,16.62,16.14,16.25,50475.21
2024-04-11,16.25,16.61,16.14,16.3,40310.93
2024-04-12,16.35,16.64,16.2,16.23,52754.31
2024-04-15,16.23,16.48,15.88,16.19,75499.55
2024-04-16,16.12,16.17,15.42,15.44,80985.97
2024-04-17,15.6,16.2,15.6,16.2,63570.14
2024-04-18,16.18,16.4,15.99,16.09,76487.42
2024-04-19,16.0,16.25,15.91,16.09,51688.94
2024-04-22,15.88,16.35,15.58,16.22,67067.1
2024-04-23,16.13,16.45,16.07,16.1,44598.88
2024-04-24,16.1,16.53,16.02,16.53,61122.69
2024-04-25,16.46,16.59,16.28,16.39,42767.95
2024-04-26,15.2,15.38,14.76,15.19,306577.87
2024-04-29,15.04,15.85,15.01,15.58,203173.05
2024-04-30,15.6,15.63,15.18,15.3,91751.93
2024-05-06,15.41,15.78,15.36,15.43,90729.0
2024-05-07,15.45,15.49,15.18,15.33,70714.29
2024-05-08,15.3,15.3,14.96,14.99,71284.91
2024-05-09,15.0,15.19,14.95,15.13,58432.85
2024-05-10,15.15,15.18,14.82,14.95,63780.93
2024-05-13,14.9,14.9,14.58,14.7,59083.5
2024-05-14,14.69,14.92,14.62,14.73,48741.98
2024-05-15,14.73,14.8,14.57,14.58,41705.52
2024-05-16,14.61,14.92,14.61,14.71,57853.54
2024-05-17,14.72,14.93,14.58,14.92,45230.06
2024-05-20,14.85,14.99,14.77,14.91,51332.0
2024-05-21,14.91,14.91,14.7,14.78,45215.0
2024-05-22,14.77,14.86,14.69,14.82,40391.56
2024-05-23,14.77,14.84,14.41,14.45,66249.97
2024-05-24,14.6,14.68,14.31,14.33,55637.0
2024-05-27,14.32,14.44,14.01,14.38,47766.0
2024-05-28,14.38,14.5,14.12,14.12,38080.11
2024-05-29,14.17,14.33,14.11,14.15,34072.43
2024-05-30,14.12,14.26,13.98,14.17,35389.0
2024-05-31,14.18,14.43,14.18,14.3,47462.8
2024-06-03,14.15,14.17,13.85,13.97,57896.79
2024-06-04,13.97,14.0,13.68,13.85,50737.69
2024-06-05,13.84,14.02,13.78,13.83,37055.11
2024-06-06,13.92,13.97,13.31,13.4,64473.03
2024-06-07,13.49,13.61,13.3,13.46,46205.37
2024-06-11,13.45,13.7,13.2,13.66,46607.25
2024-06-12,13.69,13.88,13.6,13.75,37769.91
2024-06-13,13.75,13.87,13.6,13.76,42368.91
2024-06-14,13.76,13.98,13.6,13.92,51249.07
2024-06-17,13.89,14.05,13.8,13.94,51828.38
2024-06-18,13.93,14.25,13.87,14.2,51350.1
2024-06-19,14.23,14.38,14.07,14.09,49927.6
2024-06-20,14.1,14.12,13.67,13.67,53215.6
2024-06-21,13.72,13.75,13.49,13.64,36689.38
2024-06-24,13.56,13.61,12.92,12.95,59285.79
2024-06-25,12.95,13.05,12.69,12.84,49884.18
2024-06-26,12.82,13.5,12.75,13.48,50792.12
2024-06-27,13.45,13.54,13.1,13.11,33940.0
2024-06-28,13.15,13.51,13.07,13.21,43168.0
2024-07-01,13.18,13.28,12.79,13.07,51097.53
2024-07-02,13.06,13.23,12.88,12.95,44931.92
2024-07-03,12.95,12.98,12.67,12.69,57575.0
2024-07-04,12.7,12.8,12.34,12.38,46165.0
2024-07-05,12.38,12.61,12.26,12.55,31675.88
2024-07-08,12.54,12.54,12.04,12.1,48325.11
2024-07-09,12.05,12.64,12.05,12.59,54487.45
2024-07-10,12.53,12.75,12.5,12.65,44717.89
2024-07-11,12.91,12.99,12.71,12.99,48859.19
2024-07-12,12.9,12.99,12.85,12.9,28008.0
2024-07-15,12.87,12.89,12.6,12.68,31890.5
2024-07-16,12.68,12.86,12.57,12.84,40332.57
2024-07-17,12.82,12.9,12.7,12.71,44067.1
2024-07-18,12.63,12.63,12.3,12.53,51201.1
2024-07-19,12.5,12.78,12.42,12.73,37539.0
2024-07-22,12.74,12.9,12.69,12.78,31721.24
2024-07-23,12.73,12.78,12.41,12.41,31534.41
2024-07-24,12.4,12.54,12.29,12.29,31108.91
2024-07-25,12.24,12.46,12.17,12.26,30115.46
2024-07-26,12.28,12.53,12.28,12.49,29808.77
2024-07-29,12.54,12.63,12.39,12.55,28372.12
2024-07-30,12.46,12.66,12.4,12.64,29322.08
2024-07-31,12.67,13.3,12.59,13.28,84867.88
2024-08-01,13.28,13.4,13.2,13.28,49015.95
2024-08-02,13.16,13.37,13.03,13.04,40316.5
2024-08-05,12.98,13.11,12.51,12.53,59255.37
2024-08-06,12.7,12.87,12.59,12.74,35751.87
2024-08-07,12.69,12.99,12.69,12.83,36297.65
2024-08-08,12.81,12.9,12.6,12.79,33930.0
2024-08-09,12.8,12.93,12.68,12.68,25579.0
2024-08-12,12.74,12.75,12.54,12.6,32325.0
2024-08-13,12.6,12.73,12.56,12.71,21405.0
2024-08-14,12.75,12.85,12.68,12.74,25237.0
2024-08-15,12.71,13.07,12.62,12.93,39483.03
2024-08-16,12.96,13.2,12.95,13.1,48487.51
2024-08-19,13.1,13.38,13.02,13.28,41752.0
2024-08-20,13.33,13.33,13.11,13.15,34494.42
2024-08-21,13.09,13.25,13.02,13.06,28842.98
2024-08-22,13.05,13.22,12.8,12.9,52460.0
2024-08-23,13.17,13.59,13.03,13.52,205672.35
2024-08-26,13.56,13.8,13.35,13.67,141468.82
2024-08-27,13.64,13.8,13.47,13.53,77632.76
2024-08-28,13.47,13.89,13.45,13.77,75804.26
2024-08-29,13.66,13.77,13.53,13.64,75956.74
2024-08-30,13.53,13.96,13.53,13.78,96415.19
2024-09-02,13.88,13.88,13.59,13.62,75873.0
2024-09-03,13.61,13.75,13.51,13.72,58984.29
2024-09-04,13.57,13.83,13.54,13.75,44715.28
