datetime,open,high,low,close,volume
2024-01-02,6.74,7.32,6.74,7.06,142492.24
2024-01-03,7.1,7.16,6.9,7.11,77612.44
2024-01-04,7.06,7.16,7.03,7.13,66374.3
2024-01-05,7.11,7.19,6.98,7.08,53947.0
2024-01-08,7.07,7.13,6.92,6.95,56321.0
2024-01-09,6.95,7.08,6.94,7.03,53448.4
2024-01-10,7.08,7.09,6.9,6.91,36469.27
2024-01-11,6.88,6.99,6.87,6.98,50294.9
2024-01-12,7.04,7.17,6.96,6.98,49137.0
2024-01-15,6.96,7.08,6.87,6.93,41779.1
2024-01-16,6.92,7.0,6.8,6.88,51531.0
2024-01-17,6.94,6.94,6.71,6.71,50116.3
2024-01-18,6.66,6.7,6.28,6.43,63147.0
2024-01-19,6.43,6.44,6.22,6.39,57888.48
2024-01-22,6.42,6.55,5.79,5.85,53298.98
2024-01-23,5.9,5.91,5.6,5.68,63666.0
2024-01-24,5.73,5.99,5.69,5.9,55961.0
2024-01-25,5.99,6.42,5.96,6.39,66377.3
2024-01-26,6.34,6.6,6.34,6.51,59815.3
2024-01-29,6.65,6.65,6.2,6.24,50675.1
2024-01-30,6.29,6.32,5.94,5.96,48910.0
2024-01-31,5.88,6.0,5.38,5.38,68313.1
2024-02-01,5.24,5.36,4.99,5.11,85773.67
2024-02-02,5.19,5.35,4.6,4.75,97745.3
2024-02-05,4.64,4.66,4.28,4.28,46535.0
2024-02-06,3.85,4.01,3.85,3.86,161079.8
2024-02-07,3.8,3.9,3.47,3.47,95032.0
2024-02-08,3.17,3.74,3.12,3.72,202766.17
2024-02-19,3.69,3.84,3.5,3.84,140367.84
2024-02-20,3.84,3.89,3.71,3.85,82999.8
2024-02-21,3.79,4.24,3.79,4.05,165471.5
2024-02-22,4.06,4.24,4.03,4.23,119505.89
2024-02-23,4.29,4.49,4.23,4.47,83390.1
2024-02-26,4.51,4.79,4.43,4.62,89078.5
2024-02-27,4.64,4.74,4.55,4.7,60775.65
2024-02-28,4.85,4.96,4.23,4.23,147785.88
2024-02-29,4.09,4.35,4.01,4.32,97453.9
2024-03-01,4.32,4.44,4.23,4.29,66619.4
2024-03-04,4.32,4.41,4.13,4.31,54649.08
2024-03-05,4.3,4.3,4.14,4.16,51324.0
2024-03-06,4.12,4.42,4.11,4.35,73848.09
2024-03-07,4.39,4.53,4.31,4.34,65942.0
2024-03-08,4.33,4.45,4.32,4.36,39913.0
2024-03-11,4.4,4.45,4.35,4.41,44664.4
2024-03-12,4.42,4.56,4.38,4.55,53060.86
2024-03-13,4.56,4.62,4.47,4.6,50221.0
2024-03-14,4.58,4.69,4.55,4.63,56486.0
2024-03-15,4.64,5.09,4.59,5.09,85201.7
2024-03-18,5.3,5.6,5.3,5.6,336719.16
2024-03-19,5.46,5.58,5.19,5.19,286174.52
2024-03-20,5.21,5.35,5.14,5.28,157274.99
2024-03-21,5.25,5.33,5.19,5.22,94201.95
2024-03-22,5.19,5.74,5.19,5.74,293165.87
2024-03-25,5.7,6.21,5.47,5.87,309955.47
2024-03-26,5.72,5.83,5.5,5.6,151694.57
2024-03-27,5.58,5.82,5.36,5.36,134333.58
2024-03-28,5.55,5.67,5.41,5.56,99850.3
2024-03-29,5.6,5.77,5.43,5.52,94356.0
2024-04-01,5.56,5.6,5.47,5.55,99524.0
2024-04-02,5.57,5.81,5.54,5.81,126528.8
2024-04-03,5.87,5.87,5.63,5.66,87772.8
2024-04-08,5.64,5.65,5.24,5.26,115187.61
2024-04-09,5.27,5.58,5.26,5.32,68562.5
2024-04-10,5.31,5.32,5.05,5.11,72198.6
2024-04-11,5.11,5.21,5.0,5.09,51368.71
2024-04-12,5.07,5.15,4.95,4.97,48966.69
2024-04-15,4.79,5.02,4.47,4.47,69901.1
2024-04-16,4.11,4.24,4.02,4.02,48449.0
2024-04-17,3.62,4.23,3.62,4.17,98494.2
2024-04-18,4.14,4.28,4.01,4.11,77109.2
2024-04-19,4.12,4.18,3.97,4.03,53969.5
2024-04-22,4.01,4.18,3.9,4.0,44131.0
2024-04-23,4.02,4.25,4.02,4.16,58831.41
2024-04-24,4.16,4.39,4.13,4.32,61003.5
2024-04-25,4.38,4.38,4.22,4.29,55519.58
2024-04-26,4.27,4.35,4.14,4.18,67737.1
2024-04-29,4.17,4.43,4.13,4.39,79199.38
2024-04-30,4.42,4.45,4.16,4.3,72057.0
2024-05-06,4.31,4.6,4.31,4.55,89235.4
2024-05-07,4.55,4.64,4.42,4.55,66571.6
